Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB,
CHMP2A,181-222,ENSG00000130724,O43633,Uniprot/17547705,222,NTD,1-144,17547705,ENST00000312547,Uniprot,Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1),CHMP2A BC2 CHMP2,222,Homo sapiens (Human),181-222(C-terminal autoinhibitory region),17547705,"CHMP2A is a core component of the endosomal sorting required for transport complex III (ESCRT-III), which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. Removing 42 amino acids from the C-terminal of the protein unmasks a common ability to associate with endosomal membranes and assemble into large polymeric complexes, and the C-terminal sequences are also important for interaction of ESCRT-III protein with VPS4. Thus, ESCRT-III proteins cycle between a closed state and an activated open state is under control of sequences at the C-terminus and associated factors.  ",Experimentally validated,,,
CHMP3,151-222,ENSG00000115561,Q9Y3E7,Uniprot/17146056,222,NTD,1-113,17146056,ENST00000263856,Uniprot,Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Neuroendocrine differentiation factor) (Vacuolar protein sorting-associated protein 24) (hVps24),CHMP3 CGI149 NEDF VPS24 CGI-149,222,Homo sapiens (Human),151-222(C-terminal autoinhibitory region),17146056,"CHMP3 is a core component of the endosomal sorting required for transport complex III (ESCRT-III), which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. The autoinhibition of CHMP3 is regulated through the intramolecular interactions between N-terminal basic domain and C-terminal acidic domain. The binding of the endosome-associated ubiquitin isopeptidase (AMSH ) to the acidic half relieves the autoinhibition of CHMP3. CHMP3 can be induced to block HIV-1 release (Anti-HIV-1 budding activity) by coexpressing AMSH or by truncating the acidic domain.  ",Experimentally validated,,,
COQ8A,276-279,ENSG00000163050,Q8NI60,Uniprot,647,Kinase,329-518,Uniprot,ENST00000366777,Uniprot,"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",COQ8A ADCK3 CABC1 PP265,647,Homo sapiens (Human),276-279(KxGQ motif),25498144,"COQ8A is an atypical kinase involved in the biosynthesis of coenzyme Q. Autoinhibition is achieved by the N-terminal region containing KxGQ motif, which occludes the substrate binding site of the kinase domain within the same polypeptide. ",Experimentally validated,,,
CRK,239-294,ENSG00000167193,P46108,27135163,304,SH3,132-192,,ENST00000300574,Uniprot,Adapter molecule crk (Proto-oncogene c-Crk) (p38),CRK,304,Homo sapiens (Human),224-296(C-terminal SH3 domain),"17515907, 8183562","CRK regulates transcription and cytoskeletal reorganization for cell growth and motility by linking tyrosine kinases to small G proteins. The SH2 and nSH3 domains are used to recruit their target proteins. The interaction between SH2 and inter-domain linker between nSH3 and cSH3 detaches the SH2-targeting proteins. In mouse CRK (Q64010) mutant experiments, it was discovered that cSH3 negatively regulates the function of nSH3.",Experimentally validated,,,
CSNK1E,305-416,ENSG00000213923,P49674,27135163,416,Kinase,9-277,Uniprot,ENST00000359867,Uniprot,Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1),CSNK1E,416,Homo sapiens (Human),293-416(C-terminal domain),9430669,"Casein kinase I epsilon (CSNK1E) is a member of CKI family and is involved in signaling, circadian clock, DNA repair, and metabolism. The tail of autophosphorylated CKI? interacts with the kinase domain to block the active site. Proteolytic lysis of C-terminal region relieves autoinhibition.",Experimentally validated,,,
CYTH3,"252-264,380-400",ENSG00000008256,O43739,Uniprot/23940353,400,SEC7,77-206,Uniprot,ENST00000396741,Uniprot,"Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3)",CYTH3 ARNO3 GRP1 PSCD3,400,Homo sapiens (Human),252-264(Sec7-PH linker);380-399(C-terminal helix/polybasic region),23940353,"Cytohesin-3 (CYTH3) promotes guanine-nucleotide exchange on Arf1 and Arf6. Cytohesins share a modular architecture consisting of heptad repeats, a Sec7 domain with exchange activity for Arf1 and Arf6, a PH domain that binds phosphatidyl inositol (PI) polyphosphates, and a C-terminal helix (CtH) that overlaps with a polybasic region (PBR). Cytohesins are autoinhibited by the Sec7-PH linker (252-264) and CtH/PBR (380-399), which obstruct substrate binding. The autoinhibition can be relieved by Arf6-GTP binding in the presence of the PIP3 head group. ",Experimentally validated,,,
DAAM1,1027-1058,ENSG00000100592,Q9Y4D1,Uniprot,1078,GDB/FH3,45-420,Uniprot,ENST00000395125,Uniprot,Disheveled-associated activator of morphogenesis 1,DAAM1 KIAA0666,1078,Homo sapiens (Human),41-477(DID domain);1023-1054(DAD domain),20223827,"Diaphanous-related formins (DRFs), such as DAAM1 and mDia1, play central roles in actin dynamics through assembling linear actin filaments. The amino-terminal diaphanous inhibitory domain (DID) and the carboxyl-terminal diaphanous autoinhibitory domain (DAD) segment form an intramolecular interaction to restrain the actin assembly activity of FH1-FH2 domains. This autoinhibition is disrupted by Rho GTPase that is able to bind to the GBD domain near DID domain.",Experimentally validated,,,
DAPK2,292-301,ENSG00000035664,Q9UIK4,21497605,370,Kinase,23-285,Uniprot,ENST00000457488,Ensembl,Death-associated protein kinase 2 (DAP kinase 2) (EC 2.7.11.1) (DAP-kinase-related protein 1) (DRP-1),DAPK2,370,Homo sapiens (Human),292-301(Autoinhibitory domain),21497605,"DAPK2 is calmodulin-dependent protein kinase that is regulated by oligomerization, calmodulin binding, and autophosphorylation. DAPK2 has an autoinhibitory region that plays the central role in kinase regulation. The autoinhibitory domain sterically blocks the substrate peptide-binding site by making both hydrophobic and electrostatic contacts with the kinase core",Experimentally validated,,,
DDX3X,132-181,ENSG00000215301,O00571,26598523,662,Helicase,211-575,Uniprot,ENST00000478993,Uniprot,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)",DDX3X DBX DDX3,662,Homo sapiens (Human),"132-182(N-terminal extension),544-607(C-terminal extension)",26598523,"The Ded1/DDX3 subfamily of DEAD-box proteins is of particular interest as members function during protein translation, are essential for viability, and are frequently altered in human malignancies.  The N- and C-terminal extensions are essential for function in the Ded1/DDX3 subfamily of DEAD-box proteins. The removal of the N-terminal 131 and C-terminal 55 residues yields an active construct of DDX3.",Experimentally validated,,,
DDX58,794-925,ENSG00000107201,O95786,UniProt,925,CARD,"1-87,92-172",Uniprot,ENST00000379883,Uniprot,Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),DDX58,925,Homo sapiens (Human),735-925(Repressor domain),23950712,"Retinoic-acid-inducible gene-I (RIG-I; also called DDX58) is a cytosolic viral RNA receptor that interacts with MAVS to induce type I interferon-mediated host protective innate immunity against viral infection. The RIG-I protein comprises N-terminal Caspase Activation and Recruitment Domains (CARDs), a central RNA helicase domain, and a C-terminal Repressor domain (RD). The amino-terminal caspase recruitment domains (CARDs) of RIG-I undergo robust ubiquitination induced by TRIM25 that is involved in cell proliferation and antiviral activity in mammalian cells. In resting cells, RIG-I RD (a C-terminal Repressor domain) represses its CARDs signaling. After viral infection, RIG-I RD recognizes 5’-triphosphate double-stranded RNA (dsRNA), which results in a conformational change in the RIG-I protein.   ",Experimentally validated,,,
EIF4G1,607-618,ENSG00000114867,Q04637,23901100,1599,eIF3/EIF4A-binding,682-1085,,ENST00000346169,Uniprot,Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220),EIF4G1 EIF4F EIF4G EIF4GI,1599,Homo sapiens (Human),155-279(Pilin domain),20478255,"The Escherichia coli fimbrial adhesive protein, FimH, mediates shear-dependent binding to mannosylated surfaces via force-enhanced allosteric catch bonds. The anchoring (pilin) domain (155-279) of FimH interacts with the mannose-binding (lectin) domain and causes a twist in the b sandwich fold of the latter. This loosens the mannose-binding pocket on the opposite end of the lectin domain, resulting in an inactive low-affinity state of the adhesin.",Experimentally validated,,,
EIF4G3,619-630,ENSG00000075151,O43432,23901100,1585,EIF4A-binding,699-1019,,ENST00000264211,Uniprot,Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII),EIF4G3,1585,Homo sapiens (Human),166-309(Domain II);482-618(Domain IV),"16777603, 12620237","Epidermal growth factor receptor plays critical roles in regulating cell proliferation, differentiation, and migration. The extracellular region of each EGF receptor contains four subdomains (domains I, II, III, and IV). Self-association of EGFR is autoinhibited by intramolecular domain II (166-309)/IV(482-618) interactions that seqester the dimerization arm.",Experimentally validated,,,
EPHB2,588-623,ENSG00000133216,P29323,15173825,1055,Kinase,624-884,Uniprot,ENST00000400191,Uniprot,Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2],EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5,1055,Homo sapiens (Human),152-190(N-terminal inhibitory domain),14693367,"ELK3 (NET) belongs to a subfamily of ETS domain transcription factors. Its characteristic property is the ability to form a ternary nucleoprotein complex with the serum response factor (SRF) over the serum response element (SRE) of the c-fos promoter. NET contains two inhibitory domains, the net inhibitory domain (NID) and the C-terminal binding protein (CtBP) inhibition domain (CID). The NID is an autonomous inhibitory domain that lies adjacent to the B box and inhibits both transactivation and specific DNA binding. The NID is predicted to adopt a helix–loop–helix (HLH) structure that inhibits DNA binding in cis. The CID is a CtBP binding motif, which interacts with the corepressor CtBP1 (E1A C-terminal binding protein). The CID inhibits transcription by recruiting CtBP, which acts as a corepressor through a mechanism that appears to involve recruitment of histone deacetylase (HDAC) and de-acetylation of chromatin.",Experimentally validated,,,
ERBB2,676-684,ENSG00000141736,P04626,16777603,1255,Kinase,720-987,Uniprot,ENST00000269571,Uniprot,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),ERBB2 HER2 MLN19 NEU NGL,1255,Homo sapiens (Human),136-155(B-box);156-214(N-terminal inhibitory domain),"14693367, 8668149, 1339307",ELK4 (SAP-1a) belongs to a subfamily of ETS domain transcription factors. Its characteristic property is the ability to form a ternary nucleoprotein complex with the serum response factor (SRF) over the serum response element (SRE) of the c-fos promoter. NID domain and B-box inhibit the binding of ELK4 to DNA.,Experimentally validated,,,
ERG,"272-289,378-388",ENSG00000157554,P11308,23898196,486,ETS,290-377,23898196,ENST00000398919,Uniprot,Transcriptional regulator ERG (Transforming protein ERG),ERG,479,Homo sapiens (Human),339-372(PF/PN motif),10611245,"Esx1 is an X-linked gene that is chromosomally imprinted and is expressed specifically in extraembryonic tissues during development, as well as in the adult testis. Esx1 homeobox gene plays a role in mouse development. The autoinhibitory region containing PF/PN motif inhibits the translocation and DNA binding of Esx1.",Experimentally validated,,,
ETS1,280-330,ENSG00000134954,P14921,25670864,441,ETS,335-415,Uniprot,ENST00000319397,Uniprot,Protein C-ets-1 (p54),ETS1 EWSR2,441,Homo sapiens (Human),290-359(N-terminal inhibitory region);440-469(C-terminal inhibitory region),"25670864, 9334186",ETS2 is  a member of the Ets family of DNA binding transcription factors. It is subject to mulple levels of regulation of their DNA binding and transactivation properties.  ETS2 autoinhibition is mediated by the packing of helices within the N-terminal inhibitory domain and C-terminal inhibitory domain onto helix H1 of the ETS domain.,Experimentally validated,,,
ETS2,325-359,ENSG00000157557,P15036,25670864,469,ETS,363-443,Uniprot,ENST00000360214,Uniprot,Protein C-ets-2,ETS2,469,Homo sapiens (Human),1-42(N-terminal autoinhibitory region);85-100(A subregion between an acidic region and ETS domain);245-334(A subregion between an acidic region and ETS domain);417-480(C-terminal autoinhibitory region),"11096072, 20400516","Etv4 is a aranscriptional activator playing a role in keratinocyte differentiation. Truncation of the autoinhibitory regions increases the transcriptional and DNA binding activities of Etv4. The autoinhibition of Etv4 is mediated by elements outside of ETS domain, and exists in two conformations: a closed, inhibited form and an open, active form that is competent to bind to DNA.",Experimentally validated,,,
ETV4,"321-340,433-474",ENSG00000175832,P43268,28161714,484,ETS,341-421,Uniprot,ENST00000319349,Uniprot,ETS translocation variant 4 (Adenovirus E1A enhancer-binding protein) (E1A-F) (Polyomavirus enhancer activator 3 homolog) (Protein PEA3),ETV4 E1AF PEA3,484,Homo sapiens (Human),426-435 (?-helix in C-terminal inhibitory domain),20400516,"Etv6 is a transcriptional repressor containing a PNT domain and plays roles in normal cellular processes as well as a variety of human malignancies. The C-terminal inhibitory domain (CID) attenuates the binding of Etv6 by 10-fold, which is achieved by an ?-helix in the CID that blocks the DNA binding surface of Etv6. Interestingly, the LID (linker inhibitory damper) of Etv6 interferes with the autoinhibition by CID.",Experimentally validated,,,
