Protein name,Gene names,Protein length,Uniprot ID,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB
E3 ubiquitin-protein ligase ARIH2 (ARI-2) (Protein ariadne-2 homolog) (EC 2.3.2.31) (RING-type E3 ubiquitin transferase ARIH2) (Triad1 protein),ARIH2 ARI2 TRIAD1 HT005,493,O95376,Homo sapiens (Human),359-493(Ariadne domain),24076655,"E3 ubiquitin-protein ligase ARIH2 catalyzes ubiquitination of target proteins together with ubiquitin-conjugating enzyme E2 UBE2L3 and acts as an atypical E3 ubiquitin-protein ligase by working together with cullin-5-RING ubiquitin ligase complex and initiating ubiquitination of ECS substrates. ARIH2 is autoinhibited by the ariadne domain, which masks the second RING-type zinc finger that contains the active site and inhibits the E3 activity. Inhibition is relieved upon binding to neddylated cullin-RING ubiquitin ligase complexes, which activate the E3 ligase activity. The mechanism of autoinhibition was proved experimentally and also annotated by similarity with a human homolog (Q9Y4X5).",Experimentally validated,,
"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (130 kDa phosphatidylinositol 4,5-bisphosphate-dependent ARF1 GTPase-activating protein) (ADP-ribosylation factor-directed GTPase-activating protein 1) (ARF GTPase-activating protein 1) (Development and differentiation-enhancing factor 1) (DEF-1) (Differentiation-enhancing factor 1) (PIP2-dependent ARF1 GAP)",ASAP1 DDEF1 KIAA1249 PAG2,1129,Q9ULH1,Homo sapiens (Human),1-324(BAR domain),19017632,ASAP1 is an Arf GTPase-activating protein (GAP) that functions on membrane surfaces to catalyze the hydrolysis of GTP bound to Arf. ASAP1 has BAR domain which functions as membrane curvature sensors or as inducers of membrane curvature. The BAR domain influences GAP activity by binding to the PH domain and/or Arf GAP domain. The deletion of the entire BAR domain or the N-terminal extension increased GAP activity.,Experimentally validated,,
Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.359) (EC 2.1.1.367) (ASH1-like protein) (huASH1) (Absent small and homeotic disks protein 1 homolog) (Lysine N-methyltransferase 2H),ASH1L KIAA1420 KMT2H,2969,Q9NR48,Homo sapiens (Human),2258-2266(Autoinhibitory loop),26292256,"ASH1L (absent, small, or homeotic-like 1) is a histone methyltransferase (HMTase) involved in gene activation. Its autoinhibitory loop (2258-2266) blocks the access of histone substrate to the enzyme active site. ",Experimentally validated,,
Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (cAMP response element-binding protein CRE-BP1),ATF2 CREB2 CREBP1,505,P15336,Homo sapiens (Human),350-415(bZIP domain),8598283,"ATF-2 is a cellular basic region-leucine zipper (bZIP) transcription factor that can mediate diverse transcriptional responses, including activation by the adenovirus Ela protein. Inhibition is activation domain specific: The ATF-2 bZIP(residues 350-415) suppresses the ATF-2 and the related Ela activation domains but not acidic- and glutamine-rich activation domains. The ATF-2 bZIP and activation domain are engaged in an inhibitory intramolecular interaction and that inducers of ATF-2 disrupt this interaction to activate transcription.",Experimentally validated,,
Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53),BAIAP2,552,Q9UQB8,Homo sapiens (Human),1-178(N-terminal autoinhibitory region),"11696321, 12054568","BAIAP2 (IRSp53) is a SH3-containing protein that links membrane-bound small G-proteins to cytoplasmic effector proteins. The N-terminal autoinhibitory region interacts intramolecularly with the central region containing CRIB motif and Cdc42 binding domain. When GTP-loaded Cdc42 binds to the CRIB motif, it abrogates the autoinhibitory, intramolecular interaction and allows the SH3 domain to interact with IRSp53 effector proteins such as Mena. When the N-terminal autoinhibitory fragment was co-expressed with BAIAP2, the fragment inhibited the function of BAIAP2. ",Experimentally validated,,
Bestrophin-3 (Vitelliform macular dystrophy 2-like protein 3),BEST3 VMD2L3,668,Q8N1M1,Homo sapiens (Human),356-362(Autoinhibitory domain);384-397(Basic residue domian),23124946,"Best3, a member of the bestrophin Cl- channel family, is a candidate of cGMP-sensitive, Ca2+-activated Cl- channel in vascular smooth muscle cells. And it plays an important role in vasomotion. The deletion of autoinhibitory or basic residue domain cause the Best3 activation.",Experimentally validated,,
Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2),BIRC2 API1 MIHB RNF48,618,Q13490,Homo sapiens (Human),255-338(BIR3 domain);435-562(CARD domain),21549626,"E3 ligases mediate the covalent attachment of ubiquitin to target proteins thereby enabling ubiquitin dependent signaling. Baculoviral IAP repeat-containing protein 2 (BIRC2) protein is an E3 ligase that modulates diverse biological processes such as cell survival, proliferation, and migration. Full-length BIRC2 fails to associate with E2, but CARD-deleted mutant BIRC2 readily interacts with E2. In addition, inclusion of BIR3 domain alone can restore autoinhibition, representing that BIR3 domain is also necessary to prevent E2 binding.",Experimentally validated,,
Endoprotease bli (EC 3.4.21.75) (Blisterase),Bli,693,A0A044RE18,Onchocerca volvulus,21-116(Prodomain),12855702,"Bli is a subtilisin-like proprotein convertase of nematodes. For its activation, its N-terminal prodomain should be cleaved at RRKR motif. After cleavage, the prodomain remains associated with the protease, inhibiting its catalytic domain until the complex is translocated to the trans Golgi network. Independent expression of the prodomain was able to inhibit the activity of the catalytic domain.",Experimentally validated,,
Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1),BRAF BRAF1 RAFB1,766,P15056,Homo sapiens (Human),100-345(Autoinhibitory region),15710605,"Raf proteins are Ras-regulated serine/threonine protein kinases that control the activation of the ERK/MARK cascade, and consists of three isoforms, A-Raf, B-Raf, and Raf-1 (C-Raf), which exhibit a high degree of homology within three conserved regions (CR) known as CR1, CR2, and CR3. B-Raf contains an autoinhibitory domain(100-345) within its N terminus. The autoinhibitory domain of B-Raf encompasses the RBD and CRD (148-281) as well as a C-terminal region of low conservation between Raf isoforms (282-345).",Experimentally validated,,
Protein kinase byr2 (EC 2.7.11.25) (MAPK kinase kinase) (MAPKKK) (Protein kinase ste8),byr2 ste8 SPBC1D7.05 SPBC2F12.01,659,P28829,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),151-260(Byr2-CBD),9315645,"Byr2 protein kinase is involved in pheromone-induced sexual differentiation. Sequence from P151 to L260 was the shortest one that could bind Byr2-Cat but not Ste4 or Ras1 in the two-hybrid system and thus was designated the catalytic binding domain (Byr2-CBD). The intramolecular binding of the regulatory (Byr-CBD) to catalytic domain regulates the catalytic activity of Byr2, and it is suggested that this interaction is autoinhibitory.",Experimentally validated,,
Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha),Camk1,374,Q63450,Rattus norvegicus (Rat),285-316(Autoinhibitory region),8601311,Camk1 is a calcium/calmodulin-dependent protein kinase involved in calcium-triggered CaMKK-Camk1 signaling cascade. The C-terminal autoinhibitory region interacts with the catalytic core of the enzyme.,Experimentally validated,,
Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha),CAMK1,370,Q14012,Homo sapiens (Human),276-316(Autoinhibitory domain),14984199,"Calcium/calmodulin-dependent protein kinase type 1 (CAMK1)  regulates transcription activators activity, cell cycle, hormone production, cell differentiation, actin filament organization and neurite outgrowth. The autoinhibitory region contains two helical structures (?R1 and ?R2) and includes a pseudosubstrate sequence within it. The ?R2 helix is at the N-terminal of CaM-binding domain. The ?R1 interacts with the catalytic core and ?R2 interacts with the ATP-binding region of CAMK1 for autoinhibition.",Experimentally validated,,
Caspase recruitment domain-containing protein 11 (CARD-containing MAGUK protein 1) (Carma 1),CARD11 CARMA1,1154,Q9BXL7,Homo sapiens (Human),441-671(Inhibitory domain),18625728,"CARD11 is a multidomain adapter that is required for TCR signaling to the I?B kinase (IKK) complex. CARD11 has inhibitory domain(ID) that controls the association of CARD11 with multiple signaling cofactors through an interaction that requires both the caspase recruitment domain (CARD) and the coiled-coil domain. The ID inhibits CARD11 by direct interaction with other portions of the CARD11 protein and that, upon signaling, the ID would disengage the other portions of CARD11 and allow the signal-induced recruitment of other signaling cofactors.",Experimentally validated,,
Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog),CASK LIN2,926,O14936,Homo sapiens (Human),No autoinhibitory regions,18423203,"CASK is a unique MAGUK protein that contains an N-terminal CaM-kinase domain besides the typical MAGUK domains, and functions as an active protein kinase even without Mg2+ binding. In an archetypal CaM kinase, the catalytic domain is followed by an autoinhibitory domain that inhibits kinase activity and is disinhibited by Ca2+/calmodulin binding. However, the CASK CaM-kinase domain appears to retain a nonfunctional autoinhibitory domain as an evolutionary vestige of CaM kinases.",Experimentally validated,,
Vacuolar cation/proton exchanger 1 (Ca(2+)/H(+) antiporter CAX1) (Ca(2+)/H(+) exchanger 1) (Protein CATION EXCHANGER 1) (Protein RARE COLD INDUCIBLE 4),CAX1 RCI4 At2g38170 F16M14.10,463,Q39253,Arabidopsis thaliana (Mouse-ear cress),1-36(N-terminal regulatory region),"12006570, 11706183",CAX1 plays a key role in determining cytosolic Ca2+ levels. A synthetic peptide designed against the CAX1 36 amino acids inhibited Ca2+/H+ transport mediated by an N-terminal-truncated CAX1. N-terminal region of lCAX1 acts as an autoinhibitory domain for Ca2+/H+ transport activity.,Experimentally validated,,
E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),CBL CBL2 RNF55,906,P22681,Homo sapiens (Human),381-435(Ring domain),22266821,"Cbls are RING ubiquitin ligases that attenuate receptor tyrosine kinase (RTK) signal transduction. In CBL, the E2-binding surface on the RING domain directly contacts the TKBD in a manner that prevents E2 binding, revealing an autoinhibited conformation of the RING domain. The closed RING conformation is stabilized by hydrophobic contacts involving Ile383, Trp408, and Phe418 from the RING domain and Leu219 and Met222 from the TKBD. Numerous hydrogen bonds involving residues from the RING domain, TKBD and LHR also stabilize the closed conformation.",Experimentally validated,,
Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase),CBS,551,P35520,Homo sapiens (Human),414-551(Autoinhibitory domain),11524006,Cystathionine beta-synthase (CBS) is a key regulatory point in the biosynthesis of cysteine via the transsulfuration pathway. CBS is activated by S-adenosyl-L-methionine (AdoMet) by inducing a conformational change involving a noncatalytic C-terminal region spanning residues 414-551. The discovery of mutants (S466L and I435T) from patients represents the autoinhibitory role of the C-terminal region.,Experimentally validated,,
